infinitive,past,past_participle,third,present_participle,type1,type2,portuguese_translation,infinitive_sound,past_sound,past_participle_sound,third_sound,present_participle_sound,present_simple,present_prog,present_perf,present_perf_prog,past_simple,past_prog,past_perf,past_perf_prog,future_simple,future_prog,future_perf,future_perf_prog,conditional,conditional_prog,conditional_perf,conditional_perf_prog,country
abide,abided,"abided, abode",abides,abiding,irregular,normal,suportar,abide,abided,"abided, abode",abides,abiding,"I abide; you abide; he, she, it abides; we abide; you abide; they abide","I am abiding; you are abiding; he, she, it is abiding; we are abiding; you are abiding; they are abiding","I have abided, abode; you have abided, abode; he, she, it has abided, abode; we have abided, abode; you have abided, abode; they are abided, abode","I have been abiding; you have been abiding; he, she, it has been abiding; we have been abiding; you have been abiding; they have been abiding","I abided; you abided; he, she, it abided; we abided; you abided; they abided","I was abiding; you were abiding; he, she, was abiding; we were abiding; you are abiding; they were abiding","I had abided, abode; you had abided, abode; he, she, it had abided, abode; we had abided, abode; you had abided, abode; they had abided, abode","I had been abiding; you had been abiding; he, she, had been abiding; we had been abiding; you had been abiding; they had been abiding","I will abide; you will abide; he, she, it will abide; we will abide; you will abide; they will abide","I will be abiding; you will be abiding; he, she, it will be abiding; we will be abiding; you will be abiding; they will be abiding","I will have abided, abode; you will have abided, abode; he, she, it will have abided, abode; we will have abided, abode; you will have abided, abode; they will have abided, abode","I will have been abiding; you will have been abiding; he, she, it will have been abiding; we will have been abiding; you will have been abiding; they will have been abiding","I would abide; you would abide; he, she, it would abide; we would abide; you would abide; they would abide","I would be abiding; you would be abiding; he, she, it would be abiding; we would be abiding; you would be abiding; they would be abiding","I would have abided, abode; you would have abided, abode; he, she, it would have abided, abode; we would have abided, abode; you would have abided, abode; they would have abided, abode","I would have been abiding; you would have been abiding; he, she, it would have been abiding; we would have been abiding; you would have been abiding; they would have been abiding",
accept,accepted,accepted,accepts,accepting,regular,normal,aceitar,accept,accepted,accepted,accepts,accepting,"I accept; you accept; he, she, it accepts; we accept; you accept; they accept","I am accepting; you are accepting; he, she, it is accepting; we are accepting; you are accepting; they are accepting","I have accepted; you have accepted; he, she, it has accepted; we have accepted; you have accepted; they are accepted","I have been accepting; you have been accepting; he, she, it has been accepting; we have been accepting; you have been accepting; they have been accepting","I accepted; you accepted; he, she, it accepted; we accepted; you accepted; they accepted","I was accepting; you were accepting; he, she, was accepting; we were accepting; you are accepting; they were accepting","I had accepted; you had accepted; he, she, it had accepted; we had accepted; you had accepted; they had accepted","I had been accepting; you had been accepting; he, she, had been accepting; we had been accepting; you had been accepting; they had been accepting","I will accept; you will accept; he, she, it will accept; we will accept; you will accept; they will accept","I will be accepting; you will be accepting; he, she, it will be accepting; we will be accepting; you will be accepting; they will be accepting","I will have accepted; you will have accepted; he, she, it will have accepted; we will have accepted; you will have accepted; they will have accepted","I will have been accepting; you will have been accepting; he, she, it will have been accepting; we will have been accepting; you will have been accepting; they will have been accepting","I would accept; you would accept; he, she, it would accept; we would accept; you would accept; they would accept","I would be accepting; you would be accepting; he, she, it would be accepting; we would be accepting; you would be accepting; they would be accepting","I would have accepted; you would have accepted; he, she, it would have accepted; we would have accepted; you would have accepted; they would have accepted","I would have been accepting; you would have been accepting; he, she, it would have been accepting; we would have been accepting; you would have been accepting; they would have been accepting",
add,added,added,adds,adding,regular,normal,adicionar,add,added,added,adds,adding,"I add; you add; he, she, it adds; we add; you add; they add","I am adding; you are adding; he, she, it is adding; we are adding; you are adding; they are adding","I have added; you have added; he, she, it has added; we have added; you have added; they are added","I have been adding; you have been adding; he, she, it has been adding; we have been adding; you have been adding; they have been adding","I added; you added; he, she, it added; we added; you added; they added","I was adding; you were adding; he, she, was adding; we were adding; you are adding; they were adding","I had added; you had added; he, she, it had added; we had added; you had added; they had added","I had been adding; you had been adding; he, she, had been adding; we had been adding; you had been adding; they had been adding","I will add; you will add; he, she, it will add; we will add; you will add; they will add","I will be adding; you will be adding; he, she, it will be adding; we will be adding; you will be adding; they will be adding","I will have added; you will have added; he, she, it will have added; we will have added; you will have added; they will have added","I will have been adding; you will have been adding; he, she, it will have been adding; we will have been adding; you will have been adding; they will have been adding","I would add; you would add; he, she, it would add; we would add; you would add; they would add","I would be adding; you would be adding; he, she, it would be adding; we would be adding; you would be adding; they would be adding","I would have added; you would have added; he, she, it would have added; we would have added; you would have added; they would have added","I would have been adding; you would have been adding; he, she, it would have been adding; we would have been adding; you would have been adding; they would have been adding",
admire,admired,admired,admires,admiring,regular,normal,admirar,admire,admired,admired,admires,admiring,"I admire; you admire; he, she, it admires; we admire; you admire; they admire","I am admiring; you are admiring; he, she, it is admiring; we are admiring; you are admiring; they are admiring","I have admired; you have admired; he, she, it has admired; we have admired; you have admired; they are admired","I have been admiring; you have been admiring; he, she, it has been admiring; we have been admiring; you have been admiring; they have been admiring","I admired; you admired; he, she, it admired; we admired; you admired; they admired","I was admiring; you were admiring; he, she, was admiring; we were admiring; you are admiring; they were admiring","I had admired; you had admired; he, she, it had admired; we had admired; you had admired; they had admired","I had been admiring; you had been admiring; he, she, had been admiring; we had been admiring; you had been admiring; they had been admiring","I will admire; you will admire; he, she, it will admire; we will admire; you will admire; they will admire","I will be admiring; you will be admiring; he, she, it will be admiring; we will be admiring; you will be admiring; they will be admiring","I will have admired; you will have admired; he, she, it will have admired; we will have admired; you will have admired; they will have admired","I will have been admiring; you will have been admiring; he, she, it will have been admiring; we will have been admiring; you will have been admiring; they will have been admiring","I would admire; you would admire; he, she, it would admire; we would admire; you would admire; they would admire","I would be admiring; you would be admiring; he, she, it would be admiring; we would be admiring; you would be admiring; they would be admiring","I would have admired; you would have admired; he, she, it would have admired; we would have admired; you would have admired; they would have admired","I would have been admiring; you would have been admiring; he, she, it would have been admiring; we would have been admiring; you would have been admiring; they would have been admiring",
admit,admitted,admitted,admits,admitting,irregular,normal,admitir,admit,admitted,admitted,admits,admitting,"I admit; you admit; he, she, it admits; we admit; you admit; they admit","I am admitting; you are admitting; he, she, it is admitting; we are admitting; you are admitting; they are admitting","I have admitted; you have admitted; he, she, it has admitted; we have admitted; you have admitted; they are admitted","I have been admitting; you have been admitting; he, she, it has been admitting; we have been admitting; you have been admitting; they have been admitting","I admitted; you admitted; he, she, it admitted; we admitted; you admitted; they admitted","I was admitting; you were admitting; he, she, was admitting; we were admitting; you are admitting; they were admitting","I had admitted; you had admitted; he, she, it had admitted; we had admitted; you had admitted; they had admitted","I had been admitting; you had been admitting; he, she, had been admitting; we had been admitting; you had been admitting; they had been admitting","I will admit; you will admit; he, she, it will admit; we will admit; you will admit; they will admit","I will be admitting; you will be admitting; he, she, it will be admitting; we will be admitting; you will be admitting; they will be admitting","I will have admitted; you will have admitted; he, she, it will have admitted; we will have admitted; you will have admitted; they will have admitted","I will have been admitting; you will have been admitting; he, she, it will have been admitting; we will have been admitting; you will have been admitting; they will have been admitting","I would admit; you would admit; he, she, it would admit; we would admit; you would admit; they would admit","I would be admitting; you would be admitting; he, she, it would be admitting; we would be admitting; you would be admitting; they would be admitting","I would have admitted; you would have admitted; he, she, it would have admitted; we would have admitted; you would have admitted; they would have admitted","I would have been admitting; you would have been admitting; he, she, it would have been admitting; we would have been admitting; you would have been admitting; they would have been admitting",
advise,advised,advised,advises,advising,regular,normal,aconselhar,advise,advised,advised,advises,advising,"I advise; you advise; he, she, it advises; we advise; you advise; they advise","I am advising; you are advising; he, she, it is advising; we are advising; you are advising; they are advising","I have advised; you have advised; he, she, it has advised; we have advised; you have advised; they are advised","I have been advising; you have been advising; he, she, it has been advising; we have been advising; you have been advising; they have been advising","I advised; you advised; he, she, it advised; we advised; you advised; they advised","I was advising; you were advising; he, she, was advising; we were advising; you are advising; they were advising","I had advised; you had advised; he, she, it had advised; we had advised; you had advised; they had advised","I had been advising; you had been advising; he, she, had been advising; we had been advising; you had been advising; they had been advising","I will advise; you will advise; he, she, it will advise; we will advise; you will advise; they will advise","I will be advising; you will be advising; he, she, it will be advising; we will be advising; you will be advising; they will be advising","I will have advised; you will have advised; he, she, it will have advised; we will have advised; you will have advised; they will have advised","I will have been advising; you will have been advising; he, she, it will have been advising; we will have been advising; you will have been advising; they will have been advising","I would advise; you would advise; he, she, it would advise; we would advise; you would advise; they would advise","I would be advising; you would be advising; he, she, it would be advising; we would be advising; you would be advising; they would be advising","I would have advised; you would have advised; he, she, it would have advised; we would have advised; you would have advised; they would have advised","I would have been advising; you would have been advising; he, she, it would have been advising; we would have been advising; you would have been advising; they would have been advising",
afford,afforded,afforded,affords,affording,regular,normal,"arcar, ter recursos, pagar",afford,afforded,afforded,affords,affording,"I afford; you afford; he, she, it affords; we afford; you afford; they afford","I am affording; you are affording; he, she, it is affording; we are affording; you are affording; they are affording","I have afforded; you have afforded; he, she, it has afforded; we have afforded; you have afforded; they are afforded","I have been affording; you have been affording; he, she, it has been affording; we have been affording; you have been affording; they have been affording","I afforded; you afforded; he, she, it afforded; we afforded; you afforded; they afforded","I was affording; you were affording; he, she, was affording; we were affording; you are affording; they were affording","I had afforded; you had afforded; he, she, it had afforded; we had afforded; you had afforded; they had afforded","I had been affording; you had been affording; he, she, had been affording; we had been affording; you had been affording; they had been affording","I will afford; you will afford; he, she, it will afford; we will afford; you will afford; they will afford","I will be affording; you will be affording; he, she, it will be affording; we will be affording; you will be affording; they will be affording","I will have afforded; you will have afforded; he, she, it will have afforded; we will have afforded; you will have afforded; they will have afforded","I will have been affording; you will have been affording; he, she, it will have been affording; we will have been affording; you will have been affording; they will have been affording","I would afford; you would afford; he, she, it would afford; we would afford; you would afford; they would afford","I would be affording; you would be affording; he, she, it would be affording; we would be affording; you would be affording; they would be affording","I would have afforded; you would have afforded; he, she, it would have afforded; we would have afforded; you would have afforded; they would have afforded","I would have been affording; you would have been affording; he, she, it would have been affording; we would have been affording; you would have been affording; they would have been affording",
agree,agreed,agreed,agrees,agreeing,regular,normal,concordar,agree,agreed,agreed,agrees,agreeing,"I agree; you agree; he, she, it agrees; we agree; you agree; they agree","I am agreeing; you are agreeing; he, she, it is agreeing; we are agreeing; you are agreeing; they are agreeing","I have agreed; you have agreed; he, she, it has agreed; we have agreed; you have agreed; they are agreed","I have been agreeing; you have been agreeing; he, she, it has been agreeing; we have been agreeing; you have been agreeing; they have been agreeing","I agreed; you agreed; he, she, it agreed; we agreed; you agreed; they agreed","I was agreeing; you were agreeing; he, she, was agreeing; we were agreeing; you are agreeing; they were agreeing","I had agreed; you had agreed; he, she, it had agreed; we had agreed; you had agreed; they had agreed","I had been agreeing; you had been agreeing; he, she, had been agreeing; we had been agreeing; you had been agreeing; they had been agreeing","I will agree; you will agree; he, she, it will agree; we will agree; you will agree; they will agree","I will be agreeing; you will be agreeing; he, she, it will be agreeing; we will be agreeing; you will be agreeing; they will be agreeing","I will have agreed; you will have agreed; he, she, it will have agreed; we will have agreed; you will have agreed; they will have agreed","I will have been agreeing; you will have been agreeing; he, she, it will have been agreeing; we will have been agreeing; you will have been agreeing; they will have been agreeing","I would agree; you would agree; he, she, it would agree; we would agree; you would agree; they would agree","I would be agreeing; you would be agreeing; he, she, it would be agreeing; we would be agreeing; you would be agreeing; they would be agreeing","I would have agreed; you would have agreed; he, she, it would have agreed; we would have agreed; you would have agreed; they would have agreed","I would have been agreeing; you would have been agreeing; he, she, it would have been agreeing; we would have been agreeing; you would have been agreeing; they would have been agreeing",
alert,alerted,alerted,alerts,alerting,regular,normal,alertar,alert,alerted,alerted,alerts,alerting,"I alert; you alert; he, she, it alerts; we alert; you alert; they alert","I am alerting; you are alerting; he, she, it is alerting; we are alerting; you are alerting; they are alerting","I have alerted; you have alerted; he, she, it has alerted; we have alerted; you have alerted; they are alerted","I have been alerting; you have been alerting; he, she, it has been alerting; we have been alerting; you have been alerting; they have been alerting","I alerted; you alerted; he, she, it alerted; we alerted; you alerted; they alerted","I was alerting; you were alerting; he, she, was alerting; we were alerting; you are alerting; they were alerting","I had alerted; you had alerted; he, she, it had alerted; we had alerted; you had alerted; they had alerted","I had been alerting; you had been alerting; he, she, had been alerting; we had been alerting; you had been alerting; they had been alerting","I will alert; you will alert; he, she, it will alert; we will alert; you will alert; they will alert","I will be alerting; you will be alerting; he, she, it will be alerting; we will be alerting; you will be alerting; they will be alerting","I will have alerted; you will have alerted; he, she, it will have alerted; we will have alerted; you will have alerted; they will have alerted","I will have been alerting; you will have been alerting; he, she, it will have been alerting; we will have been alerting; you will have been alerting; they will have been alerting","I would alert; you would alert; he, she, it would alert; we would alert; you would alert; they would alert","I would be alerting; you would be alerting; he, she, it would be alerting; we would be alerting; you would be alerting; they would be alerting","I would have alerted; you would have alerted; he, she, it would have alerted; we would have alerted; you would have alerted; they would have alerted","I would have been alerting; you would have been alerting; he, she, it would have been alerting; we would have been alerting; you would have been alerting; they would have been alerting",
alight,"alit, alighted","alit, alighted",alights,alighting,irregular,normal,assentar,alight,"alit, alighted","alit, alighted",alights,alighting,"I alight; you alight; he, she, it alights; we alight; you alight; they alight","I am alighting; you are alighting; he, she, it is alighting; we are alighting; you are alighting; they are alighting","I have alit, alighted; you have alit, alighted; he, she, it has alit, alighted; we have alit, alighted; you have alit, alighted; they are alit, alighted","I have been alighting; you have been alighting; he, she, it has been alighting; we have been alighting; you have been alighting; they have been alighting","I alit, alighted; you alit, alighted; he, she, it alit, alighted; we alit, alighted; you alit, alighted; they alit, alighted","I was alighting; you were alighting; he, she, was alighting; we were alighting; you are alighting; they were alighting","I had alit, alighted; you had alit, alighted; he, she, it had alit, alighted; we had alit, alighted; you had alit, alighted; they had alit, alighted","I had been alighting; you had been alighting; he, she, had been alighting; we had been alighting; you had been alighting; they had been alighting","I will alight; you will alight; he, she, it will alight; we will alight; you will alight; they will alight","I will be alighting; you will be alighting; he, she, it will be alighting; we will be alighting; you will be alighting; they will be alighting","I will have alit, alighted; you will have alit, alighted; he, she, it will have alit, alighted; we will have alit, alighted; you will have alit, alighted; they will have alit, alighted","I will have been alighting; you will have been alighting; he, she, it will have been alighting; we will have been alighting; you will have been alighting; they will have been alighting","I would alight; you would alight; he, she, it would alight; we would alight; you would alight; they would alight","I would be alighting; you would be alighting; he, she, it would be alighting; we would be alighting; you would be alighting; they would be alighting","I would have alit, alighted; you would have alit, alighted; he, she, it would have alit, alighted; we would have alit, alighted; you would have alit, alighted; they would have alit, alighted","I would have been alighting; you would have been alighting; he, she, it would have been alighting; we would have been alighting; you would have been alighting; they would have been alighting",
